"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by GET request","ERROR","2023-01-11T19:35:49.014Z[Europe/London]","0.0","4.11"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by POST request","ERROR","2023-01-11T19:35:53.218Z[Europe/London]","0.0","4.15"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by PUT request","ERROR","2023-01-11T19:35:57.439Z[Europe/London]","0.0","4.17"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by DELETE request","ERROR","2023-01-11T19:36:01.662Z[Europe/London]","0.0","4.13"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by GET request","ERROR","2023-01-11T19:36:05.866Z[Europe/London]","0.0","4.11"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by POST request","ERROR","2023-01-11T19:36:10.031Z[Europe/London]","0.0","4.11"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by PUT request","ERROR","2023-01-11T19:36:14.208Z[Europe/London]","0.0","4.13"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by DELETE request","ERROR","2023-01-11T19:36:18.404Z[Europe/London]","0.0","4.12"
