"Story","Title","Result","Date","Stability","Duration (s)"
"Product data driven test","Data driven test for adding multiple product to the application","ERROR","2023-01-11T19:36:31.433Z[Europe/London]","0.0","104.28"
"Store data driven test","Data driven test for adding multiple store to the application","ERROR","2023-01-11T19:36:35.756Z[Europe/London]","0.0","41.22"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for product api","ERROR","2023-01-11T19:36:35.794Z[Europe/London]","0.0","4.12"
"Tags test","This test will verify if a status code of 200 is returned for GET request for store api","ERROR","2023-01-11T19:36:39.913Z[Europe/London]","0.0","4.08"
"Tags test","This test will verify if a status code of 200 is returned for GET request for product api","ERROR","2023-01-11T19:36:43.993Z[Europe/London]","0.0","4.09"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for store api","ERROR","2023-01-11T19:36:48.083Z[Europe/London]","0.0","4.1"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for store api","ERROR","2023-01-11T19:36:52.181Z[Europe/London]","0.0","4.11"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for product api","ERROR","2023-01-11T19:36:56.288Z[Europe/London]","0.0","4.12"
